Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2022,Dec,1922
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Jan,1824
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Feb,1872
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Mar,1929
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Apr,1874
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,May,1998
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Jun,2084
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Jul,1995
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Aug,2048
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Sep,2168
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Oct,2055
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Nov,1849
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2023,Dec,2011
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Jan,1910
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Feb,1836
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Mar,1804
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Apr,1880
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,May,1957
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Jun,2188
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Jul,2056
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Aug,2077
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Sep,2106
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Oct,2128
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Nov,2178
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2024,Dec,2009
